ImageId,Label
1,2.0
2,0.0
3,9.0
4,0.0
5,3.0
6,7.0
7,0.0
8,3.0
9,0.0
10,3.0
11,5.0
12,7.0
13,4.0
14,0.0
15,4.0
16,3.0
17,3.0
18,1.0
19,9.0
20,0.0
21,9.0
22,1.0
23,1.0
24,5.0
25,7.0
26,4.0
27,2.0
28,7.0
29,4.0
30,7.0
31,7.0
32,5.0
33,4.0
34,2.0
35,6.0
36,2.0
37,5.0
38,5.0
39,1.0
40,6.0
41,7.0
42,7.0
43,4.0
44,9.0
45,8.0
46,7.0
47,8.0
48,2.0
49,6.0
50,7.0
51,6.0
52,8.0
53,8.0
54,3.0
55,8.0
56,2.0
57,1.0
58,2.0
59,2.0
60,0.0
61,4.0
62,1.0
63,7.0
64,0.0
65,0.0
66,0.0
67,1.0
68,9.0
69,0.0
70,1.0
71,6.0
72,5.0
73,8.0
74,8.0
75,2.0
76,8.0
77,9.0
78,9.0
79,2.0
80,3.0
81,5.0
82,4.0
83,1.0
84,0.0
85,9.0
86,2.0
87,4.0
88,3.0
89,6.0
90,7.0
91,2.0
92,0.0
93,6.0
94,6.0
95,1.0
96,4.0
97,3.0
98,9.0
99,7.0
100,4.0
101,0.0
102,9.0
103,2.0
104,0.0
105,7.0
106,3.0
107,0.0
108,5.0
109,0.0
110,8.0
111,0.0
112,0.0
113,4.0
114,7.0
115,1.0
116,7.0
117,1.0
118,1.0
119,3.0
120,3.0
121,3.0
122,7.0
123,2.0
124,8.0
125,6.0
126,3.0
127,8.0
128,7.0
129,8.0
130,4.0
131,3.0
132,5.0
133,6.0
134,0.0
135,0.0
136,0.0
137,3.0
138,1.0
139,3.0
140,6.0
141,4.0
142,3.0
143,4.0
144,5.0
145,5.0
146,8.0
147,7.0
148,7.0
149,2.0
150,8.0
151,4.0
152,3.0
153,5.0
154,6.0
155,5.0
156,3.0
157,7.0
158,5.0
159,7.0
160,8.0
161,3.0
162,0.0
163,4.0
164,5.0
165,1.0
166,3.0
167,7.0
168,6.0
169,3.0
170,0.0
171,2.0
172,7.0
173,8.0
174,6.0
175,1.0
176,3.0
177,7.0
178,4.0
179,1.0
180,2.0
181,4.0
182,8.0
183,5.0
184,2.0
185,4.0
186,9.0
187,2.0
188,1.0
189,6.0
190,0.0
191,6.0
192,1.0
193,4.0
194,9.0
195,6.0
196,0.0
197,9.0
198,7.0
199,6.0
200,9.0
201,1.0
202,9.0
203,0.0
204,9.0
205,9.0
206,0.0
207,8.0
208,4.0
209,6.0
210,2.0
211,0.0
212,9.0
213,3.0
214,6.0
215,3.0
216,2.0
217,1.0
218,6.0
219,3.0
220,4.0
221,2.0
222,3.0
223,1.0
224,2.0
225,2.0
226,0.0
227,4.0
228,6.0
229,1.0
230,0.0
231,0.0
232,4.0
233,9.0
234,1.0
235,7.0
236,3.0
237,2.0
238,3.0
239,8.0
240,6.0
241,8.0
242,6.0
243,2.0
244,8.0
245,5.0
246,5.0
247,4.0
248,8.0
249,3.0
250,5.0
251,9.0
252,7.0
253,1.0
254,3.0
255,8.0
256,4.0
257,5.0
258,1.0
259,4.0
260,5.0
261,6.0
262,3.0
263,3.0
